,Ссылка,Подразделение,РИНЦ Author ID,SPIN,Scopus Author ID,Researher ID,ORCID ID,Профиль автора в РИНЦ,Профиль автора в Scopus,Профиль автора в Publons,Профиль автора в ORCID,Профиль автора в ResearchGate,Профиль автора в Google Scholar
0,/ru/glossary/a/abramovich_boris_nikolaevich,каф электроэнергетики и электромеханики,69231,1123-1540,7003984465,3265166,0000-0002-0480-4511,http://elibrary.ru/author_items.asp?authorid=69231&pubrole=100&show_refs=1,https://www.scopus.com/authid/detail.uri?origin=AuthorProfile&authorId=7003984465&zone=,https://publons.com/researcher/3265166/boris-abramovich/,https://orcid.org/0000-0002-0480-4511,https://www.researchgate.net/profile/Boris_Abramovich,https://scholar.google.ru/citations?hl=ru&view_op=list_works&gmla=AJsN-F6tGb7jzvC7_3Hqe7CHthVRsfTKwoRHm-4XDLIzjqiANENQtty-oidpT5YddPqDLd6LyfiW3RtC3RDhx1SRox4l6O0lG4sZUbJH750vdhgVib3ilRCCtN4F2mi8oik4zQnITzFm&user=EznUOtcAAAAJ
1,/ru/glossary/a/averin_igor_andreevich,каф общей и технической физики,747639,1785-0371,57193326882,3301426,0000-0002-6340-1819,https://elibrary.ru/author_profile.asp?id=747639,https://www.scopus.com/authid/detail.uri?authorId=57193326882,https://publons.com/researcher/3301426/igor-a-averin/,https://orcid.org/0000-0002-6340-1819,https://www.researchgate.net/profile/Igor_Averin,https://scholar.google.ru/citations?user=O6JIgnYAAAAJ&hl=en&citsig=AMD79or0UiYpLvxt_lMmgfWL37-fR_Eb-Q
2,/ru/glossary/a/avksentev_sergey_yurevich,каф горных транспортных машин,493290,Empty,Empty,Empty,Empty,http://elibrary.ru/author_items.asp?authorid=493290,https://www.scopus.com/results/results.uri?editSaveSearch=&sort=plf-f&src=s&st1=Avksentiev&nlo=&nlr=&nls=&sid=9c1c77e8b59f6fa109ed5ebe715d2c9a&sot=b&sdt=sisr&sl=23&s=AUTHOR-NAME%28Avksentiev%29&ref=%28Avksentiev%20S%29&origin=resultslist&zone=leftSideBar&txGid=795ec10a61a008b19a193efd4fcaa633,Empty,Empty,Empty,Empty
3,/ru/glossary/a/ageev_aleksey_sergeevich,каф исторической и динамической геологии,903646,Empty,57189497371,Empty,Empty,https://elibrary.ru/author_items.asp?authorid=903646,https://www.scopus.com/authid/detail.uri?authorId=57189497371&amp%3Beid=2-s2.0-84971483052,Empty,Empty,Empty,Empty
4,/ru/glossary/a/akimova_elena_vladimirovna,каф информатики и компьютерных технологий,753441,9912-1738,57196274558,AAF-5323-2019,0000-0003-3363-2429,http://elibrary.ru/author_profile.asp?id=753441,https://www.scopus.com/authid/detail.uri?authorId=57196274558,https://publons.com/researcher/AAF-5323-2019,https://orcid.org/0000-0003-3363-2429,https://www.researchgate.net/profile/Elena_Akimova4,https://scholar.google.com/citations?user=enppwl4AAAAJ&hl=ru
5,/ru/glossary/a/aleksandrov_viktor_ivanovich,каф горных транспортных машин,115347,Empty,56289798500,Empty,Empty,http://elibrary.ru/author_items.asp?authorid=115347&pubrole=100&show_refs=1,https://www.scopus.com/authid/detail.uri?authorId=56289798500&amp%3Beid=2-s2.0-84973441816,Empty,Empty,Empty,Empty
6,/ru/glossary/a/aleksandrova_tatyana_nikolaevna,каф обогащения полезных ископаемых,615346,Empty,57195633136,Empty,Empty,http://elibrary.ru/author_items.asp?authorid=615346&pubrole=100&show_refs=1,https://www.scopus.com/authid/detail.uri?authorId=57195633136&amp%3Beid=2-s2.0-85032504954,Empty,Empty,Empty,Empty
7,/ru/glossary/a/alekseev_aleksey_ivanovich,каф химических технологий и переработки энергоносителей,221584,Empty,7202889450,Empty,Empty,http://elibrary.ru/author_profile.asp?id=221584,https://www.scopus.com/authid/detail.uri?authorId=7202889450&amp%3Beid=2-s2.0-0022750353,Empty,Empty,Empty,Empty
8,/ru/glossary/a/alekseev_ivan_viktorovich,каф гидрогеологии и инженерной геологии,745843,9542-0585,57196276422,E-7580-2014,0000-0002-7817-7290,http://elibrary.ru/author_items.asp?authorid=745843,https://www.scopus.com/authid/detail.uri?authorId=57196276422&amp%3Beid=2-s2.0-85073692741,https://publons.com/researcher/E-7580-2014/,https://orcid.org/0000-0002-7817-7290,https://www.researchgate.net/profile/Ivan_Alekseev4,https://scholar.google.ru/citations?user=Xq1EHvgAAAAJ&hl=ru
9,/ru/glossary/a/alekseev_viktor_ivanovich,"каф минералогии, кристаллографии и петрографии",257338,6504-8051,36760553400,1599609,0000-0002-1512-9347,http://elibrary.ru/author_profile.asp?id=257338,https://www.scopus.com/authid/detail.uri?authorId=36760553400,https://publons.com/researcher/1599609/viktor-alekseev/metrics/,https://orcid.org/0000-0002-1512-9347,https://www.researchgate.net/profile/Viktor_Alekseev,https://scholar.google.ru/citations?user=iCwAsi8AAAAJ&hl=ru
